fileid,labsamplename,labcategoryname,labcategorycode,labtestname,labtestcode,unit,result,resultasnumeric,resultmathoperation,asbestosdetected,labsampletype
-1,K22-De0001392,Metals,,Nickel,,,,,,,Solid
-1,K22-De0001392,Metals,,Zinc,,,,,,,Solid
-1,K22-De0001392,Heavy Metals,,Chromium,,,83,83.0000,,,Solid
-1,K22-De0001392,Heavy Metals,,Copper,,,68,68.0000,,,Solid
-1,K22-De0001392,Heavy Metals,,Cadmium,,,0.34,0.3400,,,Solid
-1,K22-De0001392,Fibrous Asbestos (FA) >10 mm,,FA % asbestos (weighted average),,,N/A,,,,Solid
-1,K22-De0001392,Fibrous Asbestos (FA) >10 mm,,FA Asbestos in Soil,,,<0.001,0.0010,<,,Solid
-1,K22-De0001392,Fibrous Asbestos (FA) >10 mm,,Total FA,,,<0.00001,0.0000,<,,Solid
-1,K22-De0001392,Fibrous Asbestos (FA) <10 mm,,FA % asbestos (weighted average),,,N/A,,,,Solid
-1,K22-De0001392,Fibrous Asbestos (FA) <10 mm,,FA Asbestos in Soil,,,<0.001,0.0010,<,,Solid
-1,K22-De0001392,Fibrous Asbestos (FA) <10 mm,,Total FA,,,<0.00001,0.0000,<,,Solid
-1,K22-De0001392,Asbestos in Soils (NZ GAMAS),,Weight (<2 mm),,,274.97,274.9700,,,Solid
-1,K22-De0001392,Asbestos in Soils (NZ GAMAS),,Weight (>10 mm),,,25.74,25.7400,,,Solid
-1,K22-De0001392,Asbestos in Soils (NZ GAMAS),,Weight (<10 mm >2 mm),,,196.6,196.6000,,,Solid
-1,K22-De0001392,Asbestos in Soils (AS 4964-2004),,Asbestos Detected,,,Yes,,,,Solid
-1,K22-De0001392,Asbestos in Soils (AS 4964-2004),,Trace Analysis,,,No trace asbestos detected.,,,,Solid
-1,K22-De0001392,Asbestos in Soils (AS 4964-2004),,Sample Description,,,Fine grained soil and rocks,,,,Solid
-1,K22-De0001392,Asbestos in Soils (AS 4964-2004),,Asbestos Content (as asbestos),,,<0.01,0.0100,<,,Solid
-1,K22-De0001392,Asbestos in Soils (AS 4964-2004),,Received Weight,,,674.68,674.6800,,,Solid
-1,K22-De0001392,Asbestos in Soils (AS 4964-2004),,Total Analytical Fraction,,,509.09,509.0900,,,Solid
-1,K22-De0001392,Asbestos in Soils (AS 4964-2004),,Total Dry Mass,,,509.09,509.0900,,,Solid
-1,K22-De0001392,Asbestos Fines (AF) < 10 mm,,AF Asbestos in Soil,,,<0.001,0.0010,<,,Solid
-1,K22-De0001392,Asbestos Fines (AF) < 10 mm,,Total AF,,,0.00438,0.0044,,,Solid
-1,K22-De0001392,Asbestos Containing Materials (ACM) >10 mm,,Total ACM (> 10mm),,,<0.1,0.1000,<,,Solid
-1,K22-De0001392,Asbestos (Presence/Absence),,Asbestos type,,,Chrysotile (White Asbestos) detected,,,,Solid
-1,K22-De0001392,Asbestos (Presence/Absence),,Asbestos form,,,-,,,,Solid
-1,K22-De0001392,,,% Moisture,,,25,25.0000,,,Solid
-1,K22-De0001392,,,Asbestos Sample Description,,,,,,,Solid
